CBSA_CODE,CBSA_NAME,LATITUDE,LONGITUDE
15860,"Cañon City, CO Micro Area",38.45517,-105.424958                                                                                                            
15900,"Canton, IL Micro Area",40.46524,-90.202269                                                                                                                 
15940,"Canton-Massillon, OH Metro Area",40.711051,-81.261468                                                                                                      
15980,"Cape Coral-Fort Myers, FL Metro Area",26.563273,-81.984182                                                                                             
16020,"Cape Girardeau, MO-IL Metro Area",37.325936,-89.762639                                                                                                   
16060,"Carbondale, IL Micro Area",37.786096,-89.381212                                                                                                            
16180,"Carson City, NV Metro Area",39.15306,-119.747368                                                                                                           
16300,"Cedar Rapids, IA Metro Area",42.086289,-91.631095                                                                                                        
16340,"Cedartown, GA Micro Area",33.996015,-85.188338                                                                                                                
16380,"Celina, OH Micro Area",40.535333,-84.632059                                                                                                               
16460,"Centralia, IL Micro Area",38.648236,-88.920362                                                                                                              
16500,"Centralia, WA Micro Area",46.580071,-122.377444                                                                                                          
16540,"Chambersburg, PA Metro Area",39.926772,-77.724521                                                                                                             
16580,"Champaign-Urbana, IL Metro Area",40.234489,-88.298623                                                                                                      
16620,"Charleston, WV Metro Area",38.283213,-81.492557                                                                                                          
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.166342,-80.797285                                                                                    
16860,"Chattanooga, TN-GA Metro Area",35.049361,-85.361158                                                                                                     
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",41.75878,-87.841887                                                                                     
17060,"Chillicothe, OH Micro Area",39.323895,-83.059538                                                                                                            
17140,"Cincinnati, OH-KY-IN Metro Area",39.078595,-84.463535                                                                                                  
17220,"Clarksburg, WV Micro Area",39.28835,-80.43153                                                                                                              
17260,"Clarksdale, MS Micro Area",34.230316,-90.60401                                                                                                            
17410,"Cleveland, OH Metro Area",41.667548,-81.43052                                                                                                        
17420,"Cleveland, TN Metro Area",35.138117,-84.655079                                                                                                            
17500,"Clewiston, FL Micro Area",26.739191,-81.184001                                                                                                         
17540,"Clinton, IA Micro Area",41.898073,-90.534243                                                                                                              
17620,"Coamo, PR Micro Area",18.028709,-66.369763                                                                                                                
17640,"Coco, PR Micro Area",17.971485,-66.262252                                                                                                                  
17660,"Coeur d'Alene, ID Metro Area",47.675957,-116.695919                                                                                                      
17860,"Columbia, MO Metro Area",38.986523,-92.585236                                                                                                            
17900,"Columbia, SC Metro Area",34.077585,-81.037845                                                                                                          
17980,"Columbus, GA-AL Metro Area",32.419377,-84.843709                                                                                                         
18020,"Columbus, IN Metro Area",39.205843,-85.897999                                                                                                                
18060,"Columbus, MS Micro Area",33.251133,-88.506349                                                                                                             
18140,"Columbus, OH Metro Area",39.968562,-82.835911                                                                                                          
18180,"Concord, NH Micro Area",43.299579,-71.680041                                                                                                              
18220,"Connersville, IN Micro Area",39.639654,-85.185034                                                                                                             
18340,"Corbin, KY Micro Area",36.985916,-83.966066                                                                                                              
18420,"Corinth, MS Micro Area",34.886569,-88.581109                                                                                                                
18460,"Cornelia, GA Micro Area",34.634392,-83.525875                                                                                                                 
18500,"Corning, NY Micro Area",42.266725,-77.385525                                                                                                              
18580,"Corpus Christi, TX Metro Area",27.894817,-97.401668                                                                                                   
18620,"Corsicana, TX Micro Area",32.048448,-96.476909                                                                                                            
18660,"Cortland, NY Micro Area",42.594039,-76.07624                                                                                                                
18700,"Corvallis, OR Metro Area",44.493882,-123.424664                                                                                                             
18740,"Coshocton, OH Micro Area",40.29671,-81.930109                                                                                                               
18820,"Crawfordsville, IN Micro Area",40.040296,-86.892715                                                                                                         
18860,"Crescent City, CA Micro Area",41.749903,-123.980998                                                                                                     
18980,"Cullman, AL Micro Area",34.131923,-86.869267                                                                                                              
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",32.849171,-96.970489                                                                                      
19140,"Dalton, GA Metro Area",34.796956,-84.856279                                                                                                                 
19180,"Danville, IL Micro Area",40.186754,-87.726778                                                                                                                
19300,"Daphne-Fairhope-Foley, AL Metro Area",30.659218,-87.746067                                                                                            
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",41.39168,-90.460076                                                                                     
19430,"Dayton-Kettering-Beavercreek, OH Metro Area",39.829746,-84.140992                                                                                         
19460,"Decatur, AL Metro Area",34.489361,-87.097147                                                                                                            
19540,"Decatur, IN Micro Area",40.74573,-84.936134                                                                                                                   
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",29.1789,-81.189023                                                                                 
19740,"Denver-Aurora-Centennial, CO Metro Area",39.434789,-104.901073                                                                                         
19760,"DeRidder, LA Micro Area",30.645018,-93.340253                                                                                                             
19780,"Des Moines-West Des Moines, IA Metro Area",41.57705,-93.759712                                                                                           
19820,"Detroit-Warren-Dearborn, MI Metro Area",42.721848,-83.200846                                                                                          
19940,"Dixon, IL Micro Area",41.747447,-89.299362                                                                                                                  
20020,"Dothan, AL Metro Area",31.245528,-85.46919                                                                                                               
20100,"Dover, DE Metro Area",39.097088,-75.502982                                                                                                               
20180,"DuBois, PA Micro Area",41.006862,-78.477724                                                                                                                
20260,"Duluth, MN-WI Metro Area",47.329703,-92.37627                                                                                                        
20340,"Duncan, OK Micro Area",34.481361,-97.855607                                                                                                               
20460,"Durant, OK Micro Area",33.964004,-96.265135                                                                                                              
20500,"Durham-Chapel Hill, NC Metro Area",35.995536,-79.09699                                                                                                   
20660,"Easton, MD Micro Area",38.748349,-76.178476                                                                                                              
20700,"East Stroudsburg, PA Micro Area",41.05624,-75.329065                                                                                                       
20740,"Eau Claire, WI Metro Area",44.938672,-91.284322                                                                                                         
20780,"Edwards, CO Micro Area",39.626992,-106.695169                                                                                                              
20900,"El Campo, TX Micro Area",29.27848,-96.229674                                                                                                              
21020,"Elizabeth City, NC Micro Area",36.265199,-76.260691                                                                                                       
21060,"Elizabethtown, KY Metro Area",37.651209,-85.887598                                                                                                         
21120,"Elk City, OK Micro Area",35.270601,-99.690057                                                                                                               
21140,"Elkhart-Goshen, IN Metro Area",41.600693,-85.863986                                                                                                        
21300,"Elmira, NY Metro Area",42.148697,-76.752471                                                                                                                 
21340,"El Paso, TX Metro Area",31.527394,-105.521333                                                                                                             
21460,"Enterprise, AL Micro Area",31.402258,-85.989602                                                                                                             
21500,"Erie, PA Metro Area",42.117952,-80.096386                                                                                                              
21580,"Española, NM Micro Area",36.509669,-106.693983                                                                                                          
21780,"Evansville, IN Metro Area",38.049142,-87.584519                                                                                                          
21900,"Fairmont, WV Micro Area",39.505839,-80.243402                                                                                                                
21980,"Fallon, NV Micro Area",39.53771,-118.264166                                                                                                            
22020,"Fargo, ND-MN Metro Area",46.914859,-96.960183                                                                                                            
22060,"Faribault-Northfield, MN Micro Area",44.350775,-93.298513                                                                                                 
22100,"Farmington, MO Micro Area",37.810707,-90.473868                                                                                                             
22180,"Fayetteville, NC Metro Area",35.037956,-78.982209                                                                                                         
22190,"Fayetteville, TN Micro Area",35.142784,-86.593403                                                                                                            
22300,"Findlay, OH Micro Area",41.000217,-83.665947                                                                                                                
22420,"Flint, MI Metro Area",43.021077,-83.706372                                                                                                                
22520,"Florence-Muscle Shoals, AL Metro Area",34.799254,-87.719388                                                                                              
22620,"Forrest City, AR Micro Area",35.022838,-90.751506                                                                                                          
22800,"Fort Madison, IA Micro Area",40.647588,-91.477157                                                                                                          
22840,"Fort Payne, AL Micro Area",34.460915,-85.804021                                                                                                             
23060,"Fort Wayne, IN Metro Area",41.006999,-85.216424                                                                                                           
23140,"Frankfort, IN Micro Area",40.305944,-86.477567                                                                                                               
23180,"Frankfort, KY Micro Area",38.121449,-84.933167                                                                                                             
23190,"Franklin, KY Micro Area",36.740929,-86.581787                                                                                                                 
23240,"Fredericksburg, TX Micro Area",30.325093,-98.94185                                                                                                         
23300,"Freeport, IL Micro Area",42.349726,-89.665994                                                                                                               
23340,"Fremont, NE Micro Area",41.577008,-96.645852                                                                                                              
23380,"Fremont, OH Micro Area",41.355319,-83.142776                                                                                                               
23420,"Fresno, CA Metro Area",36.879404,-119.668488                                                                                                           
23500,"Gaffney, SC Micro Area",35.049796,-81.607647                                                                                                                 
23540,"Gainesville, FL Metro Area",29.453355,-82.666257                                                                                                      
23580,"Gainesville, GA Metro Area",34.317569,-83.8185                                                                                                            
23620,"Gainesville, TX Micro Area",33.639196,-97.210343                                                                                                          
23820,"Gardnerville Ranchos, NV-CA Micro Area",38.73469,-119.714259                                                                                             
23900,"Gettysburg, PA Metro Area",39.869437,-77.21775                                                                                                              
23980,"Glasgow, KY Micro Area",36.967571,-85.815497                                                                                                              
24020,"Glens Falls, NY Metro Area",43.44045,-73.636757                                                                                                         
24100,"Gloversville, NY Micro Area",43.115609,-74.423678                                                                                                           
24180,"Granbury, TX Micro Area",32.430149,-97.831677                                                                                                              
24330,"Grand Rapids, MN Micro Area",47.490817,-93.611102                                                                                                      
24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",42.979841,-85.715614                                                                                   
24420,"Grants Pass, OR Metro Area",42.386983,-123.57162                                                                                                           
24540,"Greeley, CO Metro Area",40.555961,-104.383666                                                                                                           
24580,"Green Bay, WI Metro Area",44.474024,-87.99613                                                                                                         
24600,"Greencastle, IN Micro Area",39.665548,-86.853373                                                                                                            
24620,"Greeneville, TN Micro Area",36.179487,-82.847523                                                                                                            
24640,"Greenfield, MA Micro Area",42.584504,-72.591792                                                                                                           
24660,"Greensboro-High Point, NC Metro Area",36.025204,-79.792633                                                                                               
24700,"Greensburg, IN Micro Area",39.30598,-85.499831                                                                                                               
24780,"Greenville, NC Metro Area",35.59249,-77.372739                                                                                                              
24820,"Greenville, OH Micro Area",40.131467,-84.621191                                                                                                             
24860,"Greenville-Anderson-Greer, SC Metro Area",34.683709,-82.413423                                                                                           
24940,"Greenwood, SC Micro Area",34.190755,-82.296677                                                                                                            
25020,"Guayama, PR Metro Area",17.979155,-66.069473                                                                                                              
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",39.554433,-77.984594                                                                                           
25220,"Hammond, LA Metro Area",30.621348,-90.40649                                                                                                               
25260,"Hanford-Corcoran, CA Metro Area",36.072478,-119.81553                                                                                                      
25300,"Hannibal, MO Micro Area",39.664055,-91.57929                                                                                                              
25420,"Harrisburg-Carlisle, PA Metro Area",40.335915,-77.05049                                                                                                 
25500,"Harrisonburg, VA Metro Area",38.507612,-78.885329                                                                                                          
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",41.688038,-72.545112                                                                              
25620,"Hattiesburg, MS Metro Area",31.188441,-89.232741                                                                                                         
25720,"Heber, UT Micro Area",40.699219,-111.020425                                                                                                             
